law,section,punishment,next_steps,keywords
Arms Act Section 25,Possession/use of prohibited arms without license,Punishment varies by weapon category; can include rigorous imprisonment and fine.,1. Cooperate with lawful search and seizure. 2. Preserve seizure memo/arrest records. 3. Seek immediate legal representation.,illegal weapon gun without license arms
BNSS 2023 Section 173,Information in cognizable cases (FIR),Police must record information of cognizable offence as per BNSS procedure.,1. Submit complaint in writing or e-mode. 2. Obtain FIR copy/number. 3. Escalate refusal to senior officer or magistrate.,bnss fir refusal to register complaint police not taking complaint
BNSS 2023 Section 183,Power of police to investigate cognizable cases,Police can investigate cognizable offence without prior magistrate order as per law.,1. Provide all evidence to IO. 2. Record statement clearly. 3. Follow up investigation progress.,bnss police investigation cognizable case
BSA 2023,Admissibility and relevance of electronic evidence,Electronic records are admissible subject to statutory compliance and certification.,1. Preserve original digital files and metadata. 2. Take hash/screenshots with timestamp. 3. Obtain required certificate through legal process.,bsa electronic evidence whatsapp screenshot cctv admissible
Banking grievance (RBI Ombudsman framework),Bank service deficiency and unauthorized transactions,Relief may include reversal/compensation depending on facts and compliance.,1. Complain to bank first and keep complaint number. 2. Escalate to RBI Ombudsman if unresolved. 3. Preserve statements and communication trail.,bank fraud unauthorized debit bank not helping complaint
Bharatiya Nyaya Sanhita 2023,Cheating (BNS),"Punishment follows BNS cheating provisions, including imprisonment and fine depending on facts.","1. Preserve chats, payment proof, and false promises. 2. File FIR and cyber complaint if online. 3. Seek bank freeze/recovery steps.",bns cheating fraud bns section cheating
Bharatiya Nyaya Sanhita 2023,Criminal breach of trust (BNS),Punishment follows BNS breach of trust provisions and may vary by role and amount.,1. Collect entrustment agreements/records. 2. File FIR with transaction trail. 3. Start civil recovery where needed.,bns breach of trust misappropriation
Bharatiya Nyaya Sanhita 2023,Criminal intimidation (BNS),Punishment under BNS intimidation provisions; higher for grave threats.,1. Preserve threat evidence. 2. File FIR and request protection. 3. Escalate repeated threats immediately.,bns criminal intimidation threats
Bharatiya Nyaya Sanhita 2023,Organized crime and gang offences (BNS),Severe punishment under BNS organized crime provisions based on offence gravity.,1. Share extortion/gang evidence with police. 2. File FIR with detailed accused network information. 3. Cooperate with special investigation units.,bns organized crime gang extortion
Bharatiya Nyaya Sanhita 2023,Rape and sexual assault provisions (BNS),Stringent punishment under BNS sexual offence provisions; severity based on facts.,1. Seek urgent medical care and MLC. 2. File FIR promptly. 3. Preserve evidence and request victim support services.,bns rape sexual assault molestation
